'Stadt';'West';'Sued';'Ost';'Nord';'RailModes';'Geschwindigkeit';'GTFS-Daten'
'Wien';16;48;17;48.5;'tram';14.9;
'Graz';15;46.9;15.6;47.2;'tram';;
'Innsbruck';11.25;47.2;11.5;47.4;'tram';;
'Linz';14;48;14.5;48.5;;;
'Gmunden';13.77;47.90;14;48;;14;
'Berlin';12.7;52.2;14.1;52.9;'tram';17.4;
'Dresden';;;;;;;
'München';11.16;48.01;11.95;48.30;'tram';18.4;
'Nürnberg';;;;;;;
'Leipzig';;;;;;;
'Köln';;;;;;;
'Stuttgart';;;;;;;
'Prag';14;49.5;15;50.5;;19.37;
'Brno';16.4;49.05;16.8;49.35;;;
'Budapest';18.8;47.30;19.40;47.70;;17.5;
'Mailand';9.0;45.30;9.35;45.60;;;
'San Francisco';-123.2;37.5;-122.25;38;;;
'Bordeaux';;;;;;;
'Lyon';;;;;;;
'Helsinki';;;;;;;
'Brüssel';;;;;;;
'Manchester';;;;;;;
'Amsterdam';;;;;;;
'Sankt Petersburg';;;;;;;
'Göteborg';;;;;;;
'Basel';;;;;;17.7;
'Zürich';;;;;;;
'Toronto';;;;;;;
'Portland';;;;;;;
'Ulm';;;;;;21.5;
'Essen';;;;;;21.5;
'Chemnitz';;;;;;20.6;
'Potsdam';;;;;;20.4;
'Zwickau';;;;;;20;
'Bremen';;;;;;19;
'Luxembourg';;;;;;18.3;
'Augsburg';;;;;;18;
'Halle (Saale)';;;;;;17.9;
'Krefeld';;;;;;17.7;
'Bern';;;;;;17.0;
